train_stop_id,trip_id,stop_sequence,stop_id,arrival_time,departure_time,no_exit,no_entry,border_control,_c9,_c10,_c11,_c12,_c13,_c14,_c15,_c16,_c17,_c18,_c19,_c20,_c21,_c22,_c23,_c24,_c25
BDŽ 2637:8,BDŽ 2637,8.0,Mezdra,2026-02-27 00:37:00,2026-02-27 00:38:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:9,BDŽ 2637,9.0,Roman,2026-02-27 00:51:00,2026-02-27 00:52:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:10,BDŽ 2637,10.0,Cherven Bryag,2026-02-27 01:11:00,2026-02-27 01:12:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:11,BDŽ 2637,11.0,Telish,2026-02-27 01:25:00,2026-02-27 01:26:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:12,BDŽ 2637,12.0,Poveljanovo,2026-02-27 06:26:00,2026-02-27 07:05:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:13,BDŽ 2637,13.0,Devnya,2026-02-27 07:14:00,2026-02-27 07:15:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:14,BDŽ 2637,14.0,Kipra,2026-02-27 07:22:00,2026-02-27 07:22:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:15,BDŽ 2637,15.0,Chernevo,2026-02-27 07:26:00,2026-02-27 07:26:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:16,BDŽ 2637,16.0,Suvorovo,2026-02-27 07:32:00,2026-02-27 07:33:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:17,BDŽ 2637,17.0,Valchi Dol,2026-02-27 07:44:00,2026-02-27 07:45:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:18,BDŽ 2637,18.0,General Kiselovo,2026-02-27 07:52:00,2026-02-27 07:52:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:19,BDŽ 2637,19.0,Oborishte,2026-02-27 08:00:00,2026-02-27 08:00:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:20,BDŽ 2637,20.0,Botevo,2026-02-27 08:08:00,2026-02-27 08:08:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2637:21,BDŽ 2637,21.0,Donchevo,2026-02-27 08:18:00,2026-02-27 08:18:00,0.0,0.0,,,,,,,,,,,,,,,,,,
